Lista 2024 - China Contados,,,,,,,,,,,,Lista 2024 - China y Italia No Contados,,,,,,,Lista 2024 - Otros,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de Llegada,Fabricas,Codigo,Cantidad Pedidos,Cantidad Recibidos,Cantidad de Sacos,,Ratio R/P,Fabricas,Pedidos por Fabricas,Ratio R/P por Fabricas,,Fecha de Llegada,Fabrica,Codigo,Cantidad Pedidos,Cantidad Llegados,Cantidad de Sacos,,Fecha de Llegada,Fabrica,Codigo,Cantidad Pedidos,Cantidad Llegados,Cantidad de Sacos
,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-23,유화78,23907#,301,301,15,,"0,00%",유화78,1.215,"0,00%",,2024-02-14,SOFIA,Genuine Leather Bag,,80,2,,2024-12-06,유화시장,속옷옷걸이,20,20,1
2024-01-23,패딩집,23946#,390,336,14,,"13,85%",패딩집,2.521,"4,65%",,2024-02-14,ANTONIO,Genuine Leather Bag,,90,1,,2024-12-06,,옷걸이 1,20,20,
2024-01-23,패딩집,23947#,419,390,21,,"6,92%",판위왕,48.463,"4,21%",,2024-02-14,ANTONIO,Genuine Leather Bag,,30,1,,2024-12-06,,옷걸이2,20,20,
2024-01-23,패딩집,23948#,300,290,12,,"3,33%",푸리05,410,"1,22%",,2024-02-14,DI WU CHUI,Genuine Leather Bag,,160,3,,2024-12-06,,미끄럼방지용고무,40,40,
2024-01-23,패딩집,23949#,300,290,12,,"3,33%",이우,33.400,"0,18%",,2024-02-14,DI LU YIZUANG,Genuine Leather Bag,,70,1,,2024-12-06,,바지걸이,50,50,
2024-01-23,패딩집,23950#,304,300,10,,"1,32%",커춘,27.868,"5,26%",,2024-02-14,DI JIN SHUQUIN,Genuine Leather Bag,,100,3,,2024-12-06,,행거,1,1,2
2024-01-23,판위왕,23954#,500,500,11,,"0,00%",D70,16.835,"5,18%",,2024-02-14,LUCIA,Genuine Leather Bag,,63,1,,2024-12-06,인터넷,야외전등,10,10,1
2024-01-23,판위왕,23960#,341,300,10,,"12,02%",신대지536,4.407,"6,83%",,2024-02-14,DAVID,Genuine Leather Bag,,50,3,,2024-12-06,,주방용랩,12,12,3
2024-01-23,판위왕,23961#,560,524,9,,"6,43%",해주공장,17.082,"5,37%",,2024-02-14,DAVID,Genuine Leather Bag,,30,2,,2024-12-06,,벽지장식품,1,1,1
2024-01-23,판위왕,23970#,400,398,4,,"0,50%",테프,675,"-0,59%",,2024-02-14,DI HU CONGXIN,Genuine Leather Bag,,100,2,,2024-12-06,,식탁전등,4,4,1
2024-01-23,판위왕,22986#,561,500,5,,"10,87%",판위팡,9.768,"6,39%",,2024-02-14,ANGELINA,Genuine Leather Bag,,70,2,,2024-12-06,,거울,4,4,1
2024-01-23,판위왕,23943#,477,450,12,,"5,66%",샌대지498,200,"0,00%",,2024-02-14,SOFIA / Di Hu Suiying,Genuine Leather Bag,,14,1,,2024-12-06,,바구니,4,4,1
2024-01-23,푸리05,23974#,410,405,21,,"1,22%",null,25.670,"1,17%",,2024-02-14,SOFIA / Di Hu Suiying,Genuine Leather Bag,,9,1,,2024-12-06,,고양이터,1,1,3
2024-01-23,이우,101#,450,450,6,,"0,00%",유화A2-1,830,"0,00%",,2024-02-14,SOFIA / Di Hu Suiying,Genuine Leather Bag,,10,1,,2024-12-06,,고양이터,1,1,1
2024-01-23,이우,808-1#,1.320,1.320,9,,"0,00%",유화117,400,"0,00%",,2024-02-14,K2,7273#,,138,3,,2024-12-06,,고양이터,1,1,1
2024-03-24,유화78,23976#,514,514,26,,"0,00%",잉그,3.100,"4,09%",,2024-02-14,mAGLIFICIO ARTICO,731#,,100,2,,2024-12-06,가죽가구집,소파,1,1,4
2024-03-24,판위왕,23975#,372,330,17,,"11,29%",YA,7.296,"4,73%",,2024-02-14,mAGLIFICIO ARTICO,711#,,125,2,,2024-12-06,,겨자소파,1,1,2
2024-03-24,판위왕,23980#,320,311,6,,"2,81%",신대지180,15.617,"0,03%",,2024-02-14,mAGLIFICIO ARTICO,712#,,123,2,,2024-12-06,,녹색소파,1,1,1
2024-03-24,판위왕,23644#,321,310,10,,"3,43%",뜨게집A11-3,1.705,"5,05%",,2024-02-14,CLOVER & CO,22707#,,197,7,,2024-12-06,,오렌지테블,1,1,2
2024-03-24,판위왕,22947#,333,300,7,,"9,91%",청바지집,1.186,"7,34%",,2024-02-14,YOmI / Sofia,9626-SIN,,46,2,,2024-12-06,,흰색테블,1,1,1
2024-03-24,판위왕,24301#,427,400,12,,"6,32%",9248,11.090,"0,00%",,2024-02-14,YOmI / Sofia,9626-CON,,55,2,,2024-12-06,,검정테블,1,1,1
2024-03-24,판위왕,24304#,300,298,10,,"0,67%",파티집,2.569,"1,20%",,2024-02-14,mIYA,C202011A,,36,1,,2024-12-06,,소파,1,1,1
2024-03-24,판위왕,23970#,400,288,10,,"28,00%",신대지168,1.607,"3,74%",,2024-02-14,mIYA,C100241,,55,2,,2024-12-06,,벽돌색소파,1,1,1
2024-03-24,커춘,24306#,574,540,16,,"5,92%",지하A36-2,319,"0,00%",,2024-02-14,mIYA,m0028,,3,0,,2024-12-06,,긴 소파,1,1,1
2024-03-24,커춘,22017#,500,500,21,,"0,00%",지하78-2,653,"7,91%",,2024-02-14,FLORA SRL,5996#,,9,1,,2024-12-06,,의자,2,2,2
2024-03-24,D70,23926#,722,650,14,,"9,97%",뜨게집,1.978,"6,48%",,2024-02-14,FLORA SRL,5536#,,13,1,,2024-12-06,,현관테블,1,1,1
2024-03-24,신대지536,21164#,1045,950,11,,"9,09%",지하A11,1.893,"2,77%",,2024-02-14,FLORA SRL,5595#,,8,1,,2024-12-06,,침대,2,2,8
2024-03-24,해주공장,2083#,992,993,17,,"-0,10%",지하D117,503,"3,98%",,2024-02-14,JAmES mODA(COTTON),18041#,,181,2,,2024-12-06,나무가구집,나무테블,1,1,1
2024-04-05,이우,3342#,520,520,2,,"0,00%",따랑여자집,979,"2,19%",,2024-02-14,JAmES mODA(COTTON),18042#,,251,2,,2024-12-06,,나무의자,8,8,8
2024-04-05,이우,166#,1.080,1.080,7,,"0,00%",따랑남자집,1.436,"1,62%",,2024-02-14,ANGELA,Genuine Leather Bag,,80,6,,2024-12-06,,나무테블,1,1,2
2024-04-05,이우,2301#,800,800,4,,"0,00%",따랑63호,702,"0,76%",,,,,,,,,2024-12-06,,나무의자,1,1,1
2024-04-05,이우,555#,300,300,2,,"0,00%",따랑43호,379,"5,01%",,2024-07-01,magic Fashion S.R.L,24059,,216,3,,2024-12-06,,서랍장,1,1,1
2024-04-05,이우,8287#,600,600,3,,"0,00%",3-37#,140,"0,00%",,2024-07-01,m & R SRL,H8197-Z,,25,3,,2024-12-06,,현관테블,1,1,1
2024-04-05,이우,8285#,600,600,3,,"0,00%",2-27#,194,"2,07%",,2024-07-01,m & R SRL,H8214-Z,,25,,,2024-12-06,야외가구,야외소파,1,1,9
2024-04-05,이우,8281#,600,600,3,,"0,00%",SH,180,"0,00%",,2024-07-01,m & R SRL,H8238-Z,,25,,,2024-12-06,,야외테블세트,1,1,6
2024-04-05,이우,8280#,580,580,3,,"0,00%",32680,5.500,"0,00%",,2024-07-01,m & R SRL,H8296-Z,,25,,,2024-12-06,,야외테블세트,1,1,5
2024-04-05,이우,808-2#,1.100,1.100,8,,"0,00%",32724,20.300,"0,00%",,2024-07-01,m & R SRL,H8158,,20,,,2024-12-06,,야외의자,1,1,3
2024-04-05,이우,B01#,800,800,2,,"0,00%",32766,3.040,"0,00%",,2024-07-01,micok di Lin Cheng,631,,50,2,,2024-12-06,,수영장의자,2,2,2
2024-04-05,판위왕,23524#,430,430,9,,"0,00%",FT,510,"0,00%",,2024-07-01,micok di Lin Cheng,YZ04,,30,,,2024-12-06,,수영장테블,1,1,2
2024-04-05,판위왕,24305#,428,428,8,,"0,00%",지하83-1A,2.517,"2,47%",,2024-07-01,micok di Lin Cheng,2502,,20,,,2024-12-06,카페트집,2*2.9카페트,3,3,3
2024-04-05,해주공장,23952#,904,840,15,,"7,08%",시골집,3.250,"4,92%",,2024-07-01,micok di Lin Cheng,636,,20,,,2024-12-06,,3*4카페트,2,2,2
2024-04-05,해주공장,23940#,742,600,6,,"19,14%",지하A55,2.024,"4,42%",,2024-07-01,micok di Lin Cheng,851,,46,,,2024-12-06,커텐집,커텐,17,17,7
2024-04-05,해주공장,104-1#,1.900,1.885,31,,"0,79%",시골공장,1.463,"6,54%",,2024-07-01,micok di Lin Cheng,82439,,20,,,,,,,,
2024-04-05,유화78,B319-2#,400,400,16,,"0,00%",따랑43,400,"3,00%",,2024-07-01,Ohlala Pronto moda,8191,,90,5,,,,,,,
2024-04-05,커춘,24307#,500,481,10,,"3,80%",신대지530,1.049,"4,46%",,2024-07-01,Ohlala Pronto moda,8237,,170,,,,,,,,
2024-04-05,커춘,23973#,529,520,21,,"1,70%",지하78-1A,2.140,"2,63%",,2024-07-01,Ohlala Pronto moda,8195,,80,,,,,,,,94
2024-04-05,테프,null,675,679,15,,"-0,59%",지하A88-2,311,"0,00%",,2024-07-01,Ohlala Pronto moda,8270,,78,,,,,,,,
2024-04-26,해주공장,22151#,700,689,9,,"1,57%",,,,,2024-07-01,Ohlala Pronto moda,81953,,40,,,,,,,,
2024-04-26,해주공장,23915#,366,300,12,,"18,03%",,,"7,91%",,2024-07-01,Ohlala Pronto moda,15150,,70,,,,,,,,
2024-04-26,커춘,23973#,540,514,20,,"4,81%",,,"-0,59%",,2024-07-01,Ohlala Pronto moda,16008,,70,2,,,,,,,
2024-04-26,커춘,24316#,500,446,13,,"10,80%",,,,,2024-07-01,Ohlala Pronto moda,17102,,60,,,,,,,,
2024-04-26,커춘,24317#,513,500,15,,"2,53%",,,,,2024-07-01,Cos moda,12786,,120,21,,,,,,,
2024-04-26,커춘,24309#,500,497,17,,"0,60%",,,,,2024-07-01,Cos moda,14003,,108,,,,,,,,
2024-04-26,판위팡,24308#,781,765,8,,"2,05%",,,,,2024-07-01,Cos moda,20048,,119,,,,,,,,
2024-04-26,판위왕,23933#,437,400,14,,"8,47%",,,,,2024-07-01,Cos moda,14014,,60,,,,,,,,
2024-04-26,판위왕,24310#,435,400,11,,"8,05%",,,,,2024-07-01,Cos moda,12217,,79,,,,,,,,
2024-04-26,판위왕,24313#,600,585,8,,"2,50%",,,,,2024-07-01,Cos moda,12555,,100,,,,,,,,
2024-04-26,판위왕,24314#,500,444,6,,"11,20%",,,,,2024-07-01,Cos moda,116581,,117,,,,,,,,
2024-04-26,판위왕,24315#,930,888,9,,"4,52%",,,,,2024-07-01,Cos moda,13897,,146,,,,,,,,
2024-05-23,판위왕,23978#,499,490,10,,"1,80%",,,,,2024-07-01,Cos moda,11658A,,136,,,,,,,,
2024-05-23,판위왕,23979#,452,450,6,,"0,44%",,,,,2024-07-01,Cos moda,13719,,88,,,,,,,,
2024-05-23,판위왕,22211#,321,300,6,,"6,54%",,,,,2024-07-01,Cos moda,142161,,99,18,,,,,,,
2024-05-23,판위왕,23634#,444,400,7,,"9,91%",,,,,2024-07-01,Cos moda,141001,,96,,,,,,,,
2024-05-23,판위왕,23642#,438,400,7,,"8,68%",,,,,2024-07-01,Cos moda,14185,,84,,,,,,,,
2024-05-23,판위왕,22980#,532,500,4,,"6,02%",,,,,2024-07-01,Cos moda,14192,,161,,,,,,,,
2024-05-23,해주공장,24311#,933,900,10,,"3,54%",,,,,2024-07-01,Cos moda,14187,,120,,,,,,,,
2024-05-23,해주공장,24312#,608,600,5,,"1,32%",,,,,2024-07-01,Cos moda,14052A,,87,,,,,,,,
2024-05-23,커춘,24318#,512,510,17,,"0,39%",,,,,2024-07-01,Cos moda,13984,,140,,,,,,,,
2024-05-23,커춘,24319#,522,510,17,,"2,30%",,,,,2024-07-01,Cos moda,13861,,98,,,,,,,,
2024-05-23,커춘,24517#,494,490,17,,"0,81%",,,,,2024-07-01,Cos moda,12906,,77,,,,,,,,
2024-05-23,커춘,24520#,546,500,4,,"8,42%",,,,,2024-07-01,Cos moda,14265,,96,,,,,,,,
2024-05-23,커춘,24521#,471,420,16,,"10,83%",,,,,2024-07-01,Cos moda,13137,,119,,,,,,,,
2024-05-23,D70,24518#,329,300,7,,"8,81%",,,,,2024-07-01,Cos moda,11658A,,60,,,,,,,,
2024-05-23,D70,24519#,508,500,17,,"1,57%",,,,,2024-07-01,miss Cocco S.R.L,7075,,94,11,,,,,,,
2024-05-23,D70,24320#,305,300,5,,"1,64%",,,,,2024-07-01,miss Cocco S.R.L,6717,,90,,,,,,,,
2024-05-23,D70,24321#,640,600,10,,"6,25%",,,,,2024-07-01,miss Cocco S.R.L,7584,,105,,,,,,,,
2024-05-23,샌대지498,24501#,200,200,4,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7455,,103,,,,,,,,
2024-06-17,null,SL001#,360,360,3,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,6293,,102,,,,,,,,
2024-06-17,null,SL001# GOLD/SILVER,240,240,,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,6918,,99,,,,,,,,
2024-06-17,null,SL002#,360,360,2,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7681,,60,,,,,,,,
2024-06-17,null,SL002# GOLD/SILVER,240,240,,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,1440,,99,,,,,,,,
2024-06-17,null,SL003#,360,360,2,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7446,,99,,,,,,,,
2024-06-17,null,SL003# GOLD/SILVER,240,240,,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,6947-1,,92,,,,,,,,
2024-06-17,null,SL004#,360,360,2,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,1535,,49,,,,,,,,
2024-06-17,null,SL004# GOLD/SILVER,240,240,,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,6106-S,,38,,,,,,,,
2024-06-17,null,B07#,400,397,6,,"0,75%",,,,,2024-07-01,miss Cocco S.R.L,7545,,26,,,,,,,,
2024-06-17,null,B240#,240,240,2,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,6106,,49,,,,,,,,
2024-06-17,null,H1#,200,200,2,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7560,,64,,,,,,,,
2024-06-17,null,H2#,300,300,3,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7562,,68,,,,,,,,
2024-06-17,null,YN7512#,700,700,1,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7499,,97,,,,,,,,
2024-06-17,null,0048#,1.500,1.500,1,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7546,,97,,,,,,,,
2024-06-17,null,0031#,2.000,2.000,2,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7543,,96,,,,,,,,
2024-06-17,null,0041#,2.000,2.000,2,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7512,,96,7,,,,,,,
2024-06-17,null,0031BW#,1.000,1.000,1,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7441,,98,,,,,,,,
2024-06-17,null,0029#,2.000,1.900,1,,"5,00%",,,,,2024-07-01,miss Cocco S.R.L,7604,,102,,,,,,,,
2024-06-17,null,0031BK#,1.000,1.000,1,,"0,00%",,,,,2024-07-01,miss Cocco S.R.L,7536/RI,,98,,,,,,,,
2024-06-17,null,BW55#,1.500,1.500,2,,"0,00%",,,,,2024-07-01,Lara Distribuzioni S.R.L,5016,,30,4,,,,,,,
2024-06-17,null,808-2#,1.000,1.000,8,,"0,00%",,,,,2024-07-01,Lara Distribuzioni S.R.L,5017,,50,,,,,,,,
2024-06-17,null,11616-1#,300,300,3,,"0,00%",,,,,2024-07-01,Azara SRL,C23336,,10,1,,,,,,,
2024-06-17,null,11616-2#,300,300,6,,"0,00%",,,,,2024-07-01,Azara SRL,C23336,,10,,,,,,,,
2024-06-17,null,180#,300,300,1,,"0,00%",,,,,2024-07-01,Azara SRL,C23336,,10,,,,,,,,
2024-06-17,null,H3#,200,200,2,,"0,00%",,,,,2024-07-01,Solomoda SRL_mooij,G6030-103,,20,1,,,,,,,
2024-06-17,null,087#,30,30,1,,"0,00%",,,,,2024-07-01,Solomoda SRL_mooij,G6030-105,,12,,,,,,,,
2024-06-17,null,907#,60,59,2,,"1,67%",,,,,2024-07-01,Solomoda SRL_mooij,G6030-112,,16,,,,,,,,
2024-06-17,null,907#,20,12,1,,"40,00%",,,,,2024-07-01,Solomoda SRL_mooij,G6030-113,,24,,,,,,,,
2024-06-17,null,109#,10,10,,,"0,00%",,,,,2024-07-01,Solomoda SRL_mooij,G6030-79,,7,,,,,,,,
2024-06-17,null,6886#,50,49,2,,"2,00%",,,,,2024-07-01,Solomoda SRL_mooij,N6151-2,,8,,,,,,,,
2024-06-17,null,9142#,50,49,2,,"2,00%",,,,,2024-07-01,Cotton SRL,7509,,60,2,,,,,,,
2024-06-17,null,053#,40,40,1,,"0,00%",,,,,2024-07-01,Cotton SRL,7585,,53,,,,,,,,
2024-06-17,null,3131#,40,40,2,,"0,00%",,,,,2024-07-01,Cotton SRL,5596,,65,,,,,,,,
2024-06-17,null,8925#,40,40,1,,"0,00%",,,,,2024-07-01,D-Style SRL,7833,,65,1,,,,,,,
2024-06-17,null,Y150#,40,40,2,,"0,00%",,,,,2024-07-01,D-Style SRL,8259/BE,,50,,,,,,,,
2024-06-28,판위팡,24558#,770,720,5,,"6,49%",,,,,2024-07-01,mora & Co S.R.L,1007,,100,2,,,,,,,
2024-06-28,판위팡,624-1#,1.844,1.750,6,,"5,10%",,,,,2024-07-01,mora & Co S.R.L,1000,,99,,,,,,,,
2024-06-28,D70,24536#,415,400,6,,"3,61%",,,,,2024-07-01,Bing Bang moda SRL,66136,,100,1,,,,,,,
2024-06-28,D70,24537#,410,400,5,,"2,44%",,,,,2024-07-01,Elegance Firenze S.r.l,83291,,80,4,,,,,,,
2024-06-28,D70,24538#,430,400,5,,"6,98%",,,,,2024-07-01,Elegance Firenze S.r.l,827391,,100,,,,,,,,
2024-06-28,D70,24540#,405,400,5,,"1,23%",,,,,2024-07-01,Elegance Firenze S.r.l,825401,,26,,,,,,,,
2024-06-28,D70,24543#,416,400,4,,"3,85%",,,,,2024-07-01,Elegance Firenze S.r.l,801201,,30,,,,,,,,
2024-06-28,유화A2-1,24512#,400,400,4,,"0,00%",,,,,2024-07-01,Elegance Firenze S.r.l,83149,,30,,,,,,,,
2024-06-28,유화A2-1,24513-1#,111,111,1,,"0,00%",,,,,2024-07-01,Elegance Firenze S.r.l,830124,,45,,,,,,,,
